question,document
I just found out about the class—can I still sign up?,74eb249bbf
Am I eligible to join even if I’m starting late?,74eb249bbf
Do I need to already be enrolled to get a certificate?,74eb249bbf
"If I start now, can I still earn a certificate?",74eb249bbf
Is there a cutoff for submitting my project to receive a certificate?,74eb249bbf
When will the confirmation email arrive after I sign up?,977bf7786c
Is registration required before I can start submitting assignments?,977bf7786c
Can I begin homework while the registration form is still open?,977bf7786c
Will the registration status affect my access to the course content?,977bf7786c
Do I have to wait for approval before I can join the community?,977bf7786c
What’s the best way to join the live workshop if I’m enrolled as a student?,489dd1c9d9
Where can I find the link to submit questions during the live broadcast?,489dd1c9d9
Is there a place where the upcoming session schedule is announced?,489dd1c9d9
Can I watch the recorded stream on the DataTalksClub YouTube channel later?,489dd1c9d9
Which channel should I check for announcements about the live event details?,489dd1c9d9
"Where can I find the official LLM Zoomcamp docs, logistics info, and GitHub repo to get started?",04919992b3
"What steps should I follow each week to stay on track—watch videos, code notebooks, read homework, and submit before deadlines?",04919992b3
When are assignments due and how do I know I’ve met the submission deadline?,04919992b3
"Should I watch the lesson videos first, or can I jump straight into the code and exercises?",04919992b3
"Do homework assignments use the same dataset as the lessons or a different one, and is the format similar?",04919992b3
I signed up for the course but my name shows up as Lucid Elbakyan on the leaderboard—where can I find my own entry?,c2903069a0
How do I locate my position on the leaderboard if I can't see it by just looking at the list?,c2903069a0
Can I switch the display name that appears on my leaderboard record to something else?,c2903069a0
"If my certificate has the placeholder name, where do I change it to my real name?",c2903069a0
What’s the step-by-step way to view and update my display name on the course profile to match my preferred nickname?,c2903069a0
Why am I not seeing my name on the leaderboard and how can I make sure the correct entry is highlighted?,c2903069a0
"If I work through the material on my own schedule, can I still end up with a certificate?",69d122f12e
What steps do I need to take to earn the certification if I start with the self‑paced track?,69d122f12e
Are there any deadlines for submitting my capstone project to qualify for a certificate?,69d122f12e
Can I still get a certificate by completing all the peer‑review requirements after the cohort ends?,69d122f12e
Is there any way to receive a certificate without joining a live cohort?,69d122f12e
"Do I need to be part of a specific batch to earn the certificate, or can I finish everything independently?",69d122f12e
Can I still receive a certificate after skipping the first assignment?,9f689c185f
Do I need to hand in all homework to earn a certificate?,9f689c185f
Is completing the Capstone sufficient for certification if I miss a homework?,9f689c185f
Will missing one homework disqualify me from getting a certificate?,9f689c185f
Is homework mandatory for certification or just recommended?,9f689c185f
What does a `[DRAFT]` tag in a homework title actually indicate about its availability?,96286b4be4
Will the homework content or requirements change after I start working on it if it's still labeled as draft?,96286b4be4
How can I confirm that a homework assignment is final and won't be updated later?,96286b4be4
"If I begin a homework while it's still marked as draft, could the instructions be different in the final version?",96286b4be4
Is there a quick way to check whether a homework title contains `[DRAFT]` before I start the assignment?,96286b4be4
What's start date for upcoming cohort?,bd31146b0e
Which season upcoming launch?,bd31146b0e
What's start date for upcoming batch?,bd31146b0e
What's start date for upcoming term?,bd31146b0e
What's start date for upcoming cycle?,bd31146b0e
Where can I find the video material for each module?,31456f4b5f
Is the lecture footage hosted within the lesson folders of the repo?,31456f4b5f
How do I locate the recordings that accompany a specific lesson?,31456f4b5f
Should I rely on the GitHub repo or the YouTube playlist for up‑to‑date content?,31456f4b5f
Do the lesson pages display the videos right at the top?,31456f4b5f
"Where can I view the full syllabus, deadlines and track my progress for the cohort?",20c5a1347e
How do I find the link to the course management platform and see my homework schedule?,20c5a1347e
Is there a dashboard that shows the current cohort structure and my learning progress?,20c5a1347e
Where can I check upcoming homework due dates and my overall course progress?,20c5a1347e
"Can I access a single place to see deadlines, syllabus updates, and track my progress?",20c5a1347e
"Hey, are there any live sessions for every module?",d65e05bd7a
Do we get weekly office hours or just Slack help?,d65e05bd7a
Can I book a Zoom call with the instructor whenever I need?,d65e05bd7a
Where should I look for materials if I can’t attend a live class?,d65e05bd7a
What’s the best way to get help if I’m stuck on something?,d65e05bd7a
Can I post my lessons on Bluesky and still earn public learning credits?,dbf5369006
Do Bluesky updates count as public credit for my coursework?,dbf5369006
Will sharing my study notes on Bluesky qualify for public credit?,dbf5369006
Is it okay to use my Bluesky feed to showcase public learning achievements?,dbf5369006
Can I rely on Bluesky posts to fulfill the public credit requirement?,dbf5369006
Where’s the official LLM Zoomcamp Telegram group?,054f3fd58f
Can I find the Zoomcamp Telegram channel link somewhere?,054f3fd58f
Is there a Telegram channel for LLM Zoomcamp announcements?,054f3fd58f
Where should I go on Telegram for Zoomcamp updates?,054f3fd58f
Where’s the best place to get Zoomcamp news on Telegram?,054f3fd58f
I’m seeing a different count of FAQ entries when I run the code compared to what’s shown in the videos—why?,e2d595f23c
The number of records I fetch from the FAQ dataset doesn’t match the lecture example; is that expected?,e2d595f23c
Why does the size of the FAQ dataset I load differ from the numbers displayed in the course videos?,e2d595f23c
My script reports a different number of FAQ items than the instructor’s demo—what’s going on?,e2d595f23c
Is the discrepancy in record count because the FAQ data gets updated after the videos were recorded?,e2d595f23c
"Hey, if the homework drop‑box is still accepting entries after the official cutoff, can I still turn mine in?",a9353fadfe
I missed the deadline but the submission page hasn't been shut down yet; is it okay to upload my work now?,a9353fadfe
Will the system let me submit an assignment even after the due date if the form is still open?,a9353fadfe
Can I still hand in my homework when the deadline's passed but the upload portal remains active?,a9353fadfe
"If the deadline has expired but the submission form is still live, am I allowed to post my answers then?",a9353fadfe
Is there any way to get more time on an assignment if the deadline has already passed?,cdc3b285e5
What happens if I turn in my homework after the official deadline?,cdc3b285e5
Can I still submit work once the submission form is closed?,cdc3b285e5
Do homework grades affect whether I earn the final certificate?,cdc3b285e5
"If I miss a submission, will it impact my leaderboard rank?",cdc3b285e5
Will the name I choose for my diploma ever show up on any public website?,651ba06b34
Can other people see the name I entered for my certificate?,651ba06b34
How do I keep my real name hidden on the public leaderboard?,651ba06b34
Which field do I fill to control the name that appears on my official certificate?,651ba06b34
Is there a way to have a nickname for the public board while still keeping my official name on the diploma?,651ba06b34
What's the reason we skip LangChain and build everything ourselves?,b7cdde6b25
Why does the course focus on making the retrieval system without using a framework?,b7cdde6b25
Is there a plan to introduce LangChain later after we learn the basics?,b7cdde6b25
Does understanding the core concepts before using a framework make things easier?,b7cdde6b25
Why aren't we using LangChain's libraries in the early lessons?,b7cdde6b25
Why do I get an Insufficient credits error when I try to use OpenAI responses.create?,f5df151c59
How can I fix the OpenAPI credits problem that shows up during the responses.create command?,f5df151c59
What does the OpenAPI error 'Insufficient credits' actually mean for my project?,f5df151c59
Is there a way to check my OpenAI credits balance before running responses.create?,f5df151c59
Can I resolve the Insufficient credits issue without adding more funding to my account?,f5df151c59
I keep hitting a `RateLimitError: 429` when I call the OpenAI API—what’s causing it and how can I stop it?,152af39a53
"Do I have to add money to my OpenAI account before I can use the model, or is there a workaround?",152af39a53
Where exactly do I add credits to my account to fix the 429 error?,152af39a53
"After I add credits, do I need to create a new API key or just update the existing one?",152af39a53
"Which models can I actually use with the free tier, or do I need a paid plan for all of them?",152af39a53
What's the price of using the OpenAI API in our course?,554d0eb78b
Can I start using the OpenAI API without spending much?,554d0eb78b
Do I need to pay $5 to get credits for the API?,554d0eb78b
How cheap is the OpenAI API usage for our projects?,554d0eb78b
Will I be charged a lot if I test the API a few times?,554d0eb78b
Do I need to pay for the OpenAI API to follow along with this module?,85384a18e5
Is a paid subscription required to use the OpenAI API for the course assignments?,85384a18e5
"Can I access the OpenAI API for free while doing the homework, or do I need a plan?",85384a18e5
Will I have to subscribe to OpenAI's paid tier to complete the RAG module exercises?,85384a18e5
"Do I need to purchase credits for the OpenAI API, or can I use a free alternative provided in the repo?",85384a18e5
Why does this course suggest uv instead of sticking with the usual pip and virtualenv combo?,f81dea8f7e
"What makes uv better than the classic Python toolchain like pip, virtualenv, poetry, etc.?",f81dea8f7e
"Do I have to use uv for the lessons, or can I still run everything with just pip and virtualenv?",f81dea8f7e
"How does uv cut down the hassle of juggling separate tools for Python versions, environments, and dependencies?",f81dea8f7e
Are the speed and convenience of uv worth switching away from the traditional pip/virtualenv setup?,f81dea8f7e
Why can't I find my OPENAI_API_KEY in the notebook?,86d99bbf21
What do I need to install to load environment variables in Python?,86d99bbf21
How do I correctly load a .env file for OpenAI in Jupyter?,86d99bbf21
Where should the OPENAI_API_KEY variable be defined so the notebook sees it?,86d99bbf21
Why am I getting an error about missing OPENAI_API_KEY in my notebook?,86d99bbf21
Where should I keep my API keys so they aren't committed to Git?,233dabe430
How do I set up a .env file and add it to .gitignore?,233dabe430
What command do I run to install python-dotenv?,233dabe430
Can you show me the Python steps to load the environment variables?,233dabe430
Do I need any extra packages to read the keys in my code?,233dabe430
Is it okay to pick a different LLM service instead of the one suggested for the assignment?,ee43413718
"Do I have to stick with the recommended model, or can I switch to another provider like Groq?",ee43413718
Can I use a free service for the homework if the recommended model is paid?,ee43413718
What changes are needed in the code when I use an OpenRouter model instead of OpenAI?,ee43413718
Where can I find examples of alternative APIs that work with the assignment?,ee43413718
1. What needs to be saved in my .env file so the notebook can use a Gemini API key?,0ae5c221b9
2. How do I configure an OpenAI client to point at Google's OpenAI‑compatible base URL for Gemini?,0ae5c221b9
3. In what way do I specify the Gemini model name when I send a request through the client?,0ae5c221b9
4. Why does the notebook example use chat.completions instead of the newer Responses format?,0ae5c221b9
5. Which lines of code have to be changed in the existing notebook when moving from the old style to the new API style?,0ae5c221b9
Can you walk me through the exact steps to install Ollama on a macOS computer?,1d0b969028
What’s the procedure for installing Ollama on a Windows PC?,1d0b969028
How do I launch a model (like LLaMA 3) from the terminal on a Linux system?,1d0b969028
What command should I run to check that the Ollama local server is actually responding?,1d0b969028
Which Python package do I need to install in order to use Ollama from my scripts?,1d0b969028
"Hey, I keep hitting a ""Connection refused"" error when I try to use Ollama for RAG in my notebook—what’s the quick fix?",c6fc2d4d11
"Why does my Ollama server throw a ""Connection refused"" message after I run a RAG prompt, and how do I restart it properly?",c6fc2d4d11
"I’m getting a ""Connection refused"" while prompting Ollama in the homework; should I just rerun the notebook cell?",c6fc2d4d11
"After I close the Ollama serve cell, the next prompt fails with ""Connection refused""; what command do I need to run to get it working again?",c6fc2d4d11
"Can someone explain how to resolve the ""Connection refused"" error when using Ollama in the LLM Zoomcamp module?",c6fc2d4d11
